Stage,25%,Central,Max,Theta,Alpha,Total
1,2.3000000000000003,5.300000000000001,23.6,0.00015059873422515284,0.00010107425504354821,0.0007013462637641231
1,2.5,5.300000000000001,20.1,0.0005485141272622753,0.00026717002543217194,0.001734028878847739
1,2.5,5.5,23.1,0.0002734336865940851,0.0001544784058865761,0.0011182556664671855
1,2.1,4.9,22.200000000000003,0.00025375648816606985,0.00014593352644152167,0.0010467774481964125
1,3.3000000000000003,7.0,22.200000000000003,0.00032986234641449615,0.00028000623589212296,0.0011419933735670488
1,0.8,2.6,17.8,0.00038245177563064415,0.0004112847409356405,0.002608890024453866
1,2.6,6.2,34.9,0.0002848485886633561,0.0001957539997421311,0.0011529805473846557
1,0.5,1.2000000000000002,15.3,0.00026229040859862573,0.00011696872906536566,0.0032033273431419963
1,1.1,3.1,21.5,0.00016421116252581273,0.00012446715603575036,0.001037346288077353
1,1.6,3.8000000000000003,19.6,0.0002993271815783508,0.00018968804642468262,0.0013955600063987968
1,2.6,5.9,21.5,0.00022478725869059488,0.00017082359797824007,0.0009171821733535289
1,1.8,6.5,20.8,0.00018124344963594213,0.0002527060241874514,0.0010737017937977788
1,4.3,8.6,21.5,0.0001981668257869876,0.0002543061346656655,0.000884488965419192
1,1.7000000000000002,4.4,18.900000000000002,0.00018300958368312306,0.0001645725069202475,0.0010304434267850145
1,1.7000000000000002,4.1000000000000005,21.6,0.00015023296358944926,8.220609609975441e-05,0.000750051472203721
1,0.8,2.4000000000000004,18.1,0.00018768988830445958,0.0001671322437659306,0.0013481884444416182
1,1.5,4.3,22.1,0.00011935380222127176,9.452799822534544e-05,0.0006864351284542276
1,1.2000000000000002,3.6,18.5,0.00016831796829058204,0.00017057469020001693,0.0010420585283195524
1,3.0,6.9,22.400000000000002,0.00021601645866693316,0.00018353190667199471,0.0007897706581804182
1,2.1,5.5,22.400000000000002,0.00015959732164861387,0.00011566270928921194,0.0007429835285407373
1,2.1,6.1000000000000005,22.1,0.0001769266234488036,0.00015706547518144,0.0008091317371594182
1,0.5,1.3,14.700000000000001,0.00027201373427078966,0.00015103351262471732,0.002519152074394916
1,1.4000000000000001,4.5,20.8,0.0001729706919675656,0.0001675738952962972,0.001039483805018281
1,1.8,4.7,21.8,0.00016327263928338876,0.00010112718002712314,0.0007424557745377559
1,1.6,4.3,20.6,0.00020651520954699813,0.00013989689740378895,0.0010243301023640941
1,1.4000000000000001,3.9000000000000004,20.1,0.0003152963003396911,0.0002477096719333561,0.0016123082743006215
1,0.6000000000000001,1.6,14.600000000000001,0.0004289504835230725,0.0002685810065691328,0.0029288385086673795
1,2.1,6.6000000000000005,18.1,0.00030889702574910996,0.0004409010092436492,0.0015977752218235026
1,0.6000000000000001,1.4000000000000001,34.9,0.00012048166686268408,4.702798729202523e-05,0.0018809735060308903
1,1.1,2.8000000000000003,35.4,3.633814609126616e-05,1.6961189306006115e-05,0.00029876240457035275
1,1.1,4.0,46.7,5.488980919992366e-05,3.6480782070253166e-05,0.0005401868307610921
1,1.3,3.1,26.700000000000003,5.2380597885292256e-05,2.433310072797258e-05,0.00034486257561633593
1,1.0,2.8000000000000003,33.300000000000004,2.9003646987024228e-05,2.109132816953432e-05,0.0002610055325608813
1,0.8,2.3000000000000003,36.6,2.4480894394311714e-05,1.7190107314660504e-05,0.0002802462591688406
1,0.4,1.0,32.2,2.4607209292590274e-05,1.809855013228928e-05,0.0004102228200053789
1,0.8,3.1,30.5,2.6311300358969727e-05,4.315069437872553e-05,0.0002764895854319575
1,0.2,0.4,5.300000000000001,2.581037969356708e-05,1.4200119354691078e-05,0.001202523237976888
1,2.2,4.2,23.400000000000002,4.042628160335952e-05,1.6064620166764995e-05,0.00019672826914585785
1,0.30000000000000004,0.9,35.6,2.44263788116278e-05,2.0126461029819095e-05,0.00048616978551908896
1,0.2,0.30000000000000004,16.900000000000002,4.6738986744552256e-05,4.4354145969817494e-05,0.0017846567300425925
1,1.2000000000000002,3.2,42.7,4.2705060036713894e-05,2.0804975223993174e-05,0.0003577776000095962
1,0.7000000000000001,1.9000000000000001,25.200000000000003,2.8267593644064992e-05,1.8968657826373857e-05,0.00026595155996916316
1,0.30000000000000004,0.6000000000000001,24.6,0.00011560445821430852,5.782899326075325e-05,0.002868640186339383
1,0.30000000000000004,0.7000000000000001,28.0,9.441117390427926e-05,4.427714582461586e-05,0.0021984102644789635
1,0.9,2.3000000000000003,27.200000000000003,3.3656868123719345e-05,2.1009027400960642e-05,0.0002815190091462682
1,0.8,2.3000000000000003,31.400000000000002,4.5522280595781584e-05,3.0118042337468125e-05,0.0004912659131986836
1,0.30000000000000004,0.7000000000000001,25.5,3.0875152310145695e-05,2.155670340151345e-05,0.0006267634171860766
1,0.7000000000000001,2.3000000000000003,39.300000000000004,3.963534012243798e-05,3.7108019929328097e-05,0.0005377824810717692
1,0.9,2.8000000000000003,35.300000000000004,2.2238280227686568e-05,1.7563804529537423e-05,0.00020714859761761364
1,0.4,1.0,24.1,1.8219663306941392e-05,1.245673009535192e-05,0.0002853382118526468
1,0.7000000000000001,1.7000000000000002,27.400000000000002,3.471286977675487e-05,2.131186732783441e-05,0.0003773065543062574
1,0.6000000000000001,1.6,31.3,2.6017490669491005e-05,2.0348067243722806e-05,0.0003342793853672645
1,0.8,2.4000000000000004,34.5,2.363996361363958e-05,2.0786087370325087e-05,0.0002483774979089351
1,0.9,3.1,35.2,2.2041066488798826e-05,1.8362802302304472e-05,0.00024403853486226981
